AUC,AUCPR,BinaryAccuracy,F1,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_AUC,val_AUCPR,val_BinaryAccuracy,val_F1,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss
0.7297595143318176,0.17773523926734924,0.9213758111000061,0.04240686446428299,4701.0,312.0,0.26241135597229004,0.023067330941557884,58635.0,111.0,0.28955480456352234,0.8078611493110657,0.18999169766902924,0.9298059940338135,0.23240111768245697,935.0,657.0,0.26837417483329773,0.20493197441101074,20847.0,241.0,0.2155277132987976
0.8370843529701233,0.34894752502441406,0.9217522144317627,0.3161068558692932,3659.0,1330.0,0.4643576443195343,0.23960931599140167,57617.0,1153.0,0.22937193512916565,0.8531516790390015,0.3237961232662201,0.9505290985107422,0.2142856866121292,1023.0,99.0,0.6071428656578064,0.1301020383834839,21405.0,153.0,0.18667182326316833
0.8750051259994507,0.4843534231185913,0.9295942783355713,0.46718093752861023,2844.0,1645.0,0.5446996688842773,0.40897756814956665,57302.0,1968.0,0.19769622385501862,0.8841565847396851,0.43211400508880615,0.9491181373596191,0.452561616897583,699.0,455.0,0.5118025541305542,0.4056122303009033,21049.0,477.0,0.16158276796340942
0.8956587910652161,0.5701781511306763,0.9368089437484741,0.5409592986106873,2438.0,1591.0,0.598738968372345,0.49334996938705444,57356.0,2374.0,0.1775573343038559,0.8885934948921204,0.4582009017467499,0.9435626268386841,0.473684161901474,600.0,680.0,0.4585987329483032,0.4897959232330322,20824.0,576.0,0.15798787772655487
0.9110578894615173,0.6219614148139954,0.9415768980979919,0.5810369253158569,2229.0,1496.0,0.6332434415817261,0.5367830395698547,57451.0,2583.0,0.16283568739891052,0.8950878381729126,0.4853498935699463,0.9425926208496094,0.4902113676071167,550.0,752.0,0.4542815685272217,0.5323129296302795,20752.0,626.0,0.15447334945201874
0.9225348830223083,0.6663973927497864,0.9467369318008423,0.621066689491272,2029.0,1367.0,0.6706023812294006,0.578345775604248,57580.0,2783.0,0.15150006115436554,0.8969799876213074,0.48504793643951416,0.952601432800293,0.4578920304775238,722.0,353.0,0.5625774264335632,0.3860544264316559,21151.0,454.0,0.15121489763259888
0.9359242916107178,0.7172778248786926,0.952430248260498,0.6637844443321228,1818.0,1215.0,0.7113328576087952,0.6221945285797119,57732.0,2994.0,0.13827942311763763,0.8970993757247925,0.48210614919662476,0.9524691104888916,0.4658076763153076,706.0,372.0,0.5581947565078735,0.3996598720550537,21132.0,470.0,0.1505323201417923
0.9487783312797546,0.7662153840065002,0.9569786190986633,0.6990673542022705,1626.0,1117.0,0.7404136657714844,0.66209477186203,57830.0,3186.0,0.1251971572637558,0.8928518891334534,0.48111939430236816,0.9394620656967163,0.4717198312282562,563.0,810.0,0.4307800531387329,0.521258533000946,20694.0,613.0,0.16094855964183807
0.9626585841178894,0.8185744881629944,0.9637855291366577,0.7469033598899841,1405.0,904.0,0.7903038859367371,0.7080216407775879,58043.0,3407.0,0.11006053537130356,0.8602766990661621,0.4507177472114563,0.9527778029441833,0.43423134088516235,765.0,306.0,0.573221743106842,0.34948980808258057,21198.0,411.0,0.18965385854244232
0.9755119681358337,0.8756592869758606,0.9713295102119446,0.8033984899520874,1077.0,751.0,0.8325902819633484,0.7761845588684082,58196.0,3735.0,0.09241888672113419,0.8607876300811768,0.4178341329097748,0.9378306865692139,0.43599995970726013,631.0,779.0,0.41163140535354614,0.4634353816509247,20725.0,545.0,0.20883828401565552
