AUC,AUCPR,BinaryAccuracy,F1,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_AUC,val_AUCPR,val_BinaryAccuracy,val_F1,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss
0.7496607303619385,0.19288143515586853,0.9207791686058044,0.07238993793725967,4613.0,487.0,0.2900874614715576,0.0413549467921257,59078.0,199.0,0.2808525264263153,0.8114275336265564,0.21400554478168488,0.9454433917999268,0.1394064575433731,1075.0,172.0,0.3699633777141571,0.08588435500860214,21509.0,101.0,0.20952589809894562
0.839087963104248,0.3632749617099762,0.9231557846069336,0.33748486638069153,3552.0,1395.0,0.47457626461982727,0.2618453800678253,58170.0,1260.0,0.2269172966480255,0.8544180393218994,0.3382175862789154,0.9502559304237366,0.2725527584552765,963.0,174.0,0.5503876209259033,0.18112245202064514,21507.0,213.0,0.1864321529865265
0.8727595806121826,0.4974442720413208,0.9322584271430969,0.4745149314403534,2843.0,1518.0,0.5646687746047974,0.40918537974357605,58047.0,1969.0,0.19746437668800354,0.8769917488098145,0.42528215050697327,0.9450933933258057,0.42720213532447815,708.0,547.0,0.4610837399959564,0.3979591727256775,21134.0,468.0,0.16768020391464233
0.8941211700439453,0.5760163068771362,0.938176691532135,0.5437871813774109,2440.0,1540.0,0.6063394546508789,0.49293431639671326,58025.0,2372.0,0.17803744971752167,0.8891132473945618,0.4724271893501282,0.9310058355331421,0.45676881074905396,513.0,1064.0,0.38390272855758667,0.5637755393981934,20617.0,663.0,0.17000581324100494
0.9080161452293396,0.6200759410858154,0.9429609775543213,0.5817767381668091,2258.0,1414.0,0.6436492204666138,0.530756413936615,58151.0,2554.0,0.1653165966272354,0.8845175504684448,0.4817568063735962,0.9481121897697449,0.47382426261901855,642.0,544.0,0.4953617751598358,0.45408162474632263,21137.0,534.0,0.15604928135871887
0.9209640026092529,0.6704639792442322,0.9475278258323669,0.6214701533317566,2039.0,1339.0,0.6743677258491516,0.576267659664154,58226.0,2773.0,0.1518893986940384,0.8817348480224609,0.47347521781921387,0.9557247161865234,0.43337059020996094,789.0,223.0,0.6344262361526489,0.32908162474632263,21458.0,387.0,0.1618097424507141
0.933900773525238,0.7102307081222534,0.9517685174942017,0.6539618968963623,1878.0,1227.0,0.7051189541816711,0.6097257137298584,58338.0,2934.0,0.14078791439533234,0.8907589316368103,0.4966937303543091,0.9508246779441833,0.47720927000045776,663.0,461.0,0.5266940593719482,0.43622449040412903,21220.0,513.0,0.15230190753936768
0.9468549489974976,0.7614973187446594,0.9578731656074524,0.7002651691436768,1644.0,1068.0,0.7478753328323364,0.6583541035652161,58497.0,3168.0,0.1270086020231247,0.8823549747467041,0.46880388259887695,0.9406308531761169,0.4680517017841339,579.0,778.0,0.434181809425354,0.5076530575752258,20903.0,597.0,0.1636839509010315
0.9616115093231201,0.8198970556259155,0.9648632407188416,0.7524621486663818,1374.0,888.0,0.7947295308113098,0.7144638299942017,58677.0,3438.0,0.11092603206634521,0.8554446697235107,0.4281477928161621,0.9522246718406677,0.4359503388404846,754.0,338.0,0.5552631616592407,0.35884353518486023,21343.0,422.0,0.19423668086528778
0.9740460515022278,0.8702394962310791,0.9712319374084473,0.7996538281440735,1116.0,736.0,0.833935022354126,0.7680798172950745,58829.0,3696.0,0.09510312974452972,0.8488325476646423,0.40848252177238464,0.9492059350013733,0.4079550504684448,776.0,385.0,0.5095541477203369,0.3401360511779785,21296.0,400.0,0.22393979132175446
