AUC,AUCPR,BinaryAccuracy,F1,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_AUC,val_AUCPR,val_BinaryAccuracy,val_F1,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss
0.7250784039497375,0.17678573727607727,0.9191519021987915,0.031360238790512085,4698.0,244.0,0.2469135820865631,0.016743406653404236,56105.0,80.0,0.29909229278564453,0.77506023645401,0.16004809737205505,0.945989727973938,0.001710863783955574,1167.0,0.0,1.0,0.0008561643771827221,20439.0,1.0,0.23555424809455872
0.8256330490112305,0.2896299958229065,0.9159454703330994,0.22175092995166779,4046.0,1092.0,0.4013157784938812,0.15320217609405518,55257.0,732.0,0.24586817622184753,0.8284741044044495,0.2468000054359436,0.9453417658805847,0.1059802994132042,1098.0,83.0,0.4575163424015045,0.05993150547146797,20356.0,70.0,0.20666493475437164
0.8600385189056396,0.4176698625087738,0.9230945706367493,0.3967662751674652,3232.0,1469.0,0.5127694606781006,0.32356634736061096,54880.0,1546.0,0.21952450275421143,0.8670861721038818,0.35463693737983704,0.9259961843490601,0.3741682171821594,690.0,909.0,0.3446286916732788,0.409246563911438,19530.0,478.0,0.19730888307094574
0.8872275948524475,0.5441514849662781,0.9327301979064941,0.5192891359329224,2557.0,1555.0,0.5881885886192322,0.46483883261680603,54794.0,2221.0,0.19355419278144836,0.8807355165481567,0.44036275148391724,0.9483038187026978,0.42688554525375366,752.0,365.0,0.5326504707336426,0.3561643958091736,20074.0,416.0,0.1694207638502121
0.9032464623451233,0.5949143171310425,0.9367709755897522,0.5571215152740479,2347.0,1518.0,0.6155988574028015,0.5087903141975403,54831.0,2431.0,0.17970514297485352,0.8803926110267639,0.4623696208000183,0.9527004957199097,0.33027517795562744,916.0,106.0,0.7039105892181396,0.21575342118740082,20333.0,252.0,0.17426861822605133
0.9170790910720825,0.6522587537765503,0.9432983994483948,0.6065833568572998,2106.0,1360.0,0.6626983880996704,0.5592297911643982,54989.0,2672.0,0.16510017216205597,0.8902630805969238,0.474431574344635,0.9434905648231506,0.47257012128829956,621.0,600.0,0.4768962562084198,0.46832191944122314,19839.0,547.0,0.1642453819513321
0.929821789264679,0.6982079744338989,0.9472900629043579,0.6387892365455627,1929.0,1293.0,0.6878319382667542,0.5962746143341064,55056.0,2849.0,0.15328989923000336,0.8786782026290894,0.4783647060394287,0.9458971619606018,0.471757709980011,646.0,523.0,0.49952152371406555,0.4469178020954132,19916.0,522.0,0.16909755766391754
0.9440173506736755,0.7460188269615173,0.9535393714904785,0.6824686527252197,1726.0,1114.0,0.7325972318649292,0.6387609839439392,55235.0,3052.0,0.13891352713108063,0.8780578374862671,0.4739551544189453,0.9335863590240479,0.4718438982963562,527.0,908.0,0.41381537914276123,0.5488013625144958,19531.0,641.0,0.18455688655376434
0.9576388597488403,0.8051015138626099,0.9610646963119507,0.7367255687713623,1448.0,932.0,0.7813233137130737,0.6969443559646606,55417.0,3330.0,0.12344110012054443,0.8744606971740723,0.4646388590335846,0.9378904700279236,0.46576428413391113,583.0,759.0,0.4352678656578064,0.5008561611175537,19680.0,585.0,0.18426474928855896
0.972915768623352,0.8651607036590576,0.9688680768013,0.7931296229362488,1130.0,773.0,0.8251526951789856,0.76349937915802,55576.0,3648.0,0.10378491133451462,0.8397066593170166,0.42817819118499756,0.947933554649353,0.44717440009117126,713.0,412.0,0.5247981548309326,0.38955479860305786,20027.0,455.0,0.22854988276958466
0.9837562441825867,0.9122022986412048,0.9761644005775452,0.8434510827064514,853.0,604.0,0.8666372299194336,0.8214734196662903,55745.0,3925.0,0.08692547678947449,0.8505351543426514,0.4362535774707794,0.9366409182548523,0.4490945041179657,610.0,759.0,0.42369019985198975,0.47773972153663635,19680.0,558.0,0.23802581429481506
0.9921526908874512,0.9521505832672119,0.9831662178039551,0.8908916115760803,577.0,452.0,0.9028583765029907,0.8792381882667542,55897.0,4201.0,0.06938207149505615,0.8237953186035156,0.4046805202960968,0.9457583427429199,0.4215202033519745,741.0,431.0,0.4976690113544464,0.3655821979045868,20008.0,427.0,0.30765435099601746
0.996006965637207,0.9718387126922607,0.9872723817825317,0.9180362224578857,421.0,357.0,0.9242681264877319,0.9118878245353699,55992.0,4357.0,0.05834772065281868,0.8260210156440735,0.3980098366737366,0.941731870174408,0.4195481240749359,713.0,546.0,0.4545454680919647,0.38955479860305786,19893.0,455.0,0.30282801389694214
0.9974963665008545,0.9814124703407288,0.9905933737754822,0.9397084712982178,297.0,278.0,0.9415843486785889,0.9378401041030884,56071.0,4481.0,0.05200047791004181,0.8079910278320312,0.370919793844223,0.937381386756897,0.41199469566345215,694.0,659.0,0.41835832595825195,0.40582191944122314,19780.0,474.0,0.3543589413166046
0.9984989166259766,0.9873595237731934,0.9924256205558777,0.9515029788017273,236.0,227.0,0.9524009227752686,0.9506069421768188,56122.0,4542.0,0.04771749675273895,0.8008202910423279,0.3948517143726349,0.9495071172714233,0.4168893098831177,778.0,313.0,0.5547652840614319,0.33390411734580994,20126.0,390.0,0.37837257981300354
