AUC,AUCPR,BinaryAccuracy,F1,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_AUC,val_AUCPR,val_BinaryAccuracy,val_F1,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss
0.6990627646446228,0.1482613980770111,0.9201661944389343,0.005299628246575594,4765.0,115.0,0.1015625,0.0027208037208765745,56234.0,13.0,0.29187193512916565,0.7483461499214172,0.1454123556613922,0.9459434151649475,0.0,1168.0,0.0,0.0,0.0,20439.0,0.0,0.2324833869934082
0.7849344611167908,0.2292279303073883,0.9216712713241577,0.005400912836194038,4765.0,23.0,0.3611111044883728,0.0027208037208765745,56326.0,13.0,0.2553842067718506,0.7884813547134399,0.1532207578420639,0.9445087313652039,0.013168715871870518,1160.0,39.0,0.1702127605676651,0.006849315017461777,20400.0,8.0,0.21667362749576569
0.8177357316017151,0.290793776512146,0.9180067777633667,0.20645974576473236,4126.0,886.0,0.4239271879196167,0.13645876944065094,55463.0,652.0,0.23691745102405548,0.8276401162147522,0.2569921910762787,0.9427500367164612,0.24156953394412994,971.0,266.0,0.4254859685897827,0.1686643809080124,20173.0,197.0,0.2117113322019577
0.8575518727302551,0.42930489778518677,0.922980010509491,0.423604279756546,3048.0,1660.0,0.5103244781494141,0.36207619309425354,54689.0,1730.0,0.20792078971862793,0.8705090284347534,0.38031452894210815,0.9445087313652039,0.36325007677078247,826.0,373.0,0.4783216714859009,0.2928082048892975,20066.0,342.0,0.1663852483034134
0.8784576654434204,0.5087215304374695,0.929016649723053,0.4934033453464508,2665.0,1674.0,0.5579614639282227,0.44223523139953613,54675.0,2113.0,0.1902341991662979,0.8770676851272583,0.4158950448036194,0.9506641626358032,0.3880596458911896,830.0,236.0,0.588850200176239,0.28938356041908264,20203.0,338.0,0.16130279004573822
0.8938990831375122,0.5639284253120422,0.9328938126564026,0.5329082012176514,2438.0,1664.0,0.5844155550003052,0.4897446632385254,54685.0,2340.0,0.17676250636577606,0.8836451172828674,0.4538795053958893,0.9477946758270264,0.45136183500289917,704.0,424.0,0.522522509098053,0.39726027846336365,20015.0,464.0,0.1559215784072876
0.9012155532836914,0.5907597541809082,0.9365746974945068,0.5576724410057068,2334.0,1543.0,0.6129922270774841,0.5115110874176025,54806.0,2444.0,0.17030839622020721,0.8893661499023438,0.4748953580856323,0.9480261206626892,0.47301730513572693,664.0,459.0,0.5233644843101501,0.43150684237480164,19980.0,504.0,0.15175609290599823
0.9088243842124939,0.6125516891479492,0.9381942749023438,0.5711690783500671,2262.0,1516.0,0.6240079402923584,0.5265801548957825,54833.0,2516.0,0.16321149468421936,0.8972611427307129,0.49537742137908936,0.9413616061210632,0.48095038533210754,581.0,686.0,0.4611154794692993,0.5025684833526611,19753.0,587.0,0.1501609981060028
0.9130290746688843,0.6314619779586792,0.9412698149681091,0.5931549668312073,2161.0,1429.0,0.6468116641044617,0.5477187037467957,54920.0,2617.0,0.15866662561893463,0.8981987237930298,0.5075956583023071,0.9462674260139465,0.4919036626815796,606.0,555.0,0.5031334161758423,0.4811643958091736,19884.0,562.0,0.1455216258764267
0.918574869632721,0.6475421190261841,0.9416951537132263,0.60338294506073,2067.0,1497.0,0.6442490220069885,0.5673922300338745,54852.0,2711.0,0.15367864072322845,0.892594039440155,0.5101732015609741,0.9463136792182922,0.5008605718612671,586.0,574.0,0.5034602284431458,0.4982876777648926,19865.0,582.0,0.14717687666416168
0.9229041337966919,0.6653160452842712,0.9435437917709351,0.6195567846298218,1968.0,1483.0,0.6545539498329163,0.5881121754646301,54866.0,2810.0,0.1485540121793747,0.8988783359527588,0.5157016515731812,0.938630998134613,0.48921409249305725,533.0,793.0,0.44467785954475403,0.5436643958091736,19646.0,635.0,0.15348291397094727
0.9278191328048706,0.6850425601005554,0.9460958242416382,0.6373940706253052,1882.0,1413.0,0.672081708908081,0.6061113476753235,54936.0,2896.0,0.14325925707817078,0.9002887606620789,0.5239676237106323,0.9437682032585144,0.5030673742294312,553.0,662.0,0.4815974831581116,0.5265411138534546,19777.0,615.0,0.14832641184329987
0.9312198758125305,0.6979727745056152,0.9476009011268616,0.6479058265686035,1831.0,1372.0,0.6823338866233826,0.6167852878570557,54977.0,2947.0,0.13942454755306244,0.9009440541267395,0.5254029631614685,0.9394177794456482,0.49789026379585266,519.0,790.0,0.4510076344013214,0.5556507110595703,19649.0,649.0,0.1471504420042038
0.9373865723609924,0.7147806286811829,0.9489096403121948,0.6626336574554443,1711.0,1412.0,0.684751033782959,0.641900360584259,54937.0,3067.0,0.13369731605052948,0.8949244618415833,0.5355638265609741,0.9440922141075134,0.5105347633361816,538.0,670.0,0.48461538553237915,0.539383590221405,19769.0,630.0,0.14762437343597412
0.9398722052574158,0.726381242275238,0.9498584866523743,0.6689707040786743,1681.0,1384.0,0.691140353679657,0.6481791734695435,54965.0,3097.0,0.13052798807621002,0.8987392783164978,0.51979660987854,0.952654242515564,0.4851534366607666,686.0,337.0,0.5885226130485535,0.4126712381839752,20102.0,482.0,0.14743520319461823
